,z,y,x,intensity,volume
0,   0.4,31.671, 2.511,36611,0.0209952
1,0.514286,31.9834,3.65657,56437,0.0367416
2,   0.4,33.129, 5.427,33908,0.0209952
3,   0.4,37.341, 3.807,31172,0.0209952
4,   0.4,38.016,12.258,24640,0.0157464
5,  0.52,42.3144,33.7608,39444,0.026244
6,   0.5,43.173,26.973,69107,0.0419904
7,0.685714,36.1954,2.66143,57436,0.0367416
8,   0.6,36.774, 3.564,7965,0.0052488
9,   0.6, 38.88,13.689,15764,0.0104976
10,0.733333,40.392,28.269,47991,0.0314928
11,   0.7,45.279,35.235,73803,0.0419904
12,0.885714,30.5486,2.33743,57037,0.0367416
13,   0.8,31.644, 7.884,25212,0.0157464
14,   0.8,33.129, 8.829,32639,0.0209952
15,   0.8,33.777, 8.019,33605,0.0209952
16,   0.8,34.7004,7.6788,42677,0.026244
17,   0.8,35.559, 8.991,37120,0.0209952
18,  0.84,45.1008,36.3528,39055,0.026244
19,   0.8,45.927,44.145,43610,0.0209952
20,     1,35.883,13.041,33778,0.0209952
21,1.13333,37.152, 1.458,23396,0.0157464
22,     1,39.285,16.119,31026,0.0209952
23,     1,39.933,23.409,33166,0.0209952
24,1.13333,40.392, 4.779,49519,0.0314928
25,     1,40.743, 3.321,34740,0.0209952
26,   1.1,40.932,26.838,49905,0.0314928
27,   1.2,34.749,14.661,33797,0.0209952
28,   1.3,37.503,18.063,69726,0.0419904
29,  1.36,38.4588,10.1412,40211,0.026244
30,   1.2,38.475,26.973,40920,0.0209952
31,   1.2,39.285, 7.533,34223,0.0209952
32,1.31111,40.428,22.248,76181,0.0472392
33,1.31429,43.8094,22.9346,59049,0.0367416
34,   1.2,44.307,18.063,33169,0.0209952
35,   1.2,45.603,34.587,33005,0.0209952
36,   1.5,33.534,14.661,33950,0.0209952
37,   1.5,34.749,18.387,73387,0.0419904
38,   1.4,36.693, 8.829,32642,0.0209952
39,   1.4,37.017,21.465,33179,0.0209952
40,   1.4,37.9728,25.7256,39057,0.026244
41,  1.48,40.5648,27.6048,39771,0.026244
42,   1.4,43.578,17.172,7655,0.0052488
43,   1.6, 30.78,6.6015,33121,0.0209952
44,   1.6,31.509, 2.187,33427,0.0209952
45,   1.6,32.967,15.147,35603,0.0209952
46,   1.6,34.263, 2.025,31272,0.0209952
47,   1.6,  35.1, 16.47,23085,0.0157464
48,  1.76,36.8388,26.9892,39083,0.026244
49,  1.64,39.7872,23.8788,46022,0.026244
50,   1.6,39.933,26.811,36713,0.0209952
51,   1.6,40.986,20.655,15972,0.0104976
52,   1.6,41.229, 4.779,32370,0.0209952
53,   1.6,42.471,24.759,54891,0.0314928
54,   1.6,43.848,29.916,24041,0.0157464
55,   1.6,45.279,27.783,35480,0.0209952
56,   1.6,47.547,34.587,35847,0.0209952
57,   1.8,30.861, 9.153,37632,0.0209952
58,   1.8,33.129, 2.511,37087,0.0209952
59,  1.96,36.0288,28.2852,50238,0.026244
60,  1.96,39.9168,10.6272,42742,0.026244
61,  1.96,40.5648,14.0292,41397,0.026244
62,   1.8,41.6016,24.3972,41348,0.026244
63,   1.8,43.173,27.297,37366,0.0209952
64,   1.9,45.117,30.051,71012,0.0419904
65,   1.8,45.198,36.126,7128,0.0052488
66,   1.8,48.843,43.983,38001,0.0209952
67,  1.95,50.949,52.3665,30785,0.0209952
68,     2,34.425,14.013,34854,0.0209952
69,   2.1,34.911, 6.561,68603,0.0419904
