,z,y,x,intensity,volume
0,  0.32,23.247,14.2236,309211,0.052488
1,  0.32,23.3766,4.3254,301210,0.052488
2,  0.32,45.8136,34.911,319127,0.052488
3,   0.3,47.547,29.889,294059,0.0419904
4,0.311111,48.996, 24.84,295545,0.0472392
5,0.355556,49.734,24.354,261797,0.0472392
6,  0.32,49.7664,31.023,255756,0.052488
7,   0.3,66.987,30.375,336078,0.0419904
8,   0.4,21.2018,13.9523,232134,0.0419904
9,  0.48,22.0644,12.555,298206,0.052488
10,   0.4,25.254,12.042,239530,0.0472392
11,   0.5,29.079, 6.075,277103,0.0419904
12,   0.5,29.565, 2.349,189111,0.0419904
13,   0.5,31.833, 6.561,234350,0.0419904
14,0.511111,34.398, 16.83,242163,0.0472392
15,0.488889,43.632,31.986,297170,0.0472392
16,  0.52,48.2436,34.587,211178,0.052488
17,0.472727,51.3835,31.5311,278912,0.0577368
18,   0.5,51.921,36.855,218817,0.0419904
19,   0.5,66.015,33.453,226155,0.0419904
20,   0.4,67.5216,34.2468,172153,0.026244
21,   0.7,19.521, 8.829,240863,0.0419904
22,0.666667,20.763, 0.729,392168,0.0629856
23,   0.8,22.194, 4.455,279986,0.052488
24,0.742857,22.4949,7.68343,156254,0.0367416
25,  0.68,23.8464,16.929,216335,0.052488
26,   0.7,24.867,15.309,277385,0.0419904
27,  0.65,25.7378,2.5515,224113,0.0419904
28,  0.68,25.9524, 5.103,377190,0.052488
29,  0.68,29.0466,17.8686,266852,0.052488
30,0.666667,29.2005,3.8475,369280,0.0629856
31,0.672727,29.8375,18.6889,382964,0.0577368
32,0.666667,30.9015,22.3155,319759,0.0629856
33,0.644444,31.824,  8.73,336870,0.0472392
34,   0.8,41.391,29.565,242157,0.0629856
35,0.688889,42.192,27.486,228768,0.0472392
36,  0.66,43.3674,29.079,289284,0.052488
37,0.644444,51.948,35.478,225417,0.0472392
38,0.672727,54.1375,32.0171,339535,0.0577368
39,0.644444,54.234,36.108,278356,0.0472392
40,  0.68,54.7884,32.805,324831,0.052488
41,   0.6,55.242,37.7923,234314,0.0367416
42,0.666667,56.2545,31.7115,355412,0.0629856
43,0.672727,59.3509,30.4265,286804,0.0577368
44,0.771429,62.2774, 37.26,156057,0.0367416
45, 0.675,68.283,30.4965,203585,0.0419904
46,0.955556,17.172, 1.404,238724,0.0472392
47,0.872727,20.7949,4.02055,258128,0.0577368
48,  0.92,23.6196, 5.427,241968,0.052488
49,0.872727,24.9775,3.34309,314715,0.0577368
50,     1,26.2602,20.2662,269772,0.052488
51,0.955556,28.188,  1.08,205438,0.0472392
52,1.03333,29.349,10.935,335998,0.0629856
53,  0.94,30.6342,2.1546,295250,0.052488
54,  0.92,30.699,16.8804,200312,0.052488
55,  0.92,32.157,25.1424,243776,0.052488
56,   0.8,32.724,14.661,192069,0.0314928
57,  0.96,34.182,14.499,324724,0.052488
58,  0.82,35.3808,22.3236,312869,0.052488
59, 0.825,36.5108, 29.97,265429,0.0419904
60,0.955556,37.134,18.324,244592,0.0472392
61,0.955556,37.836,30.312,338213,0.0472392
62,   0.8,39.852,26.325,212869,0.0314928
63,   0.8,40.986,26.325,222695,0.0314928
64,  0.88,46.2024,25.191,257422,0.052488
65,  0.88,46.6236,26.001,247124,0.052488
